Link,Title,Year,Genre,Duration
https://www.imdb.com/title/tt0081505/,The Shining ,1980,Drama,2h 26min
https://www.imdb.com/title/tt0032553/,The Great Dictator ,1940,Comedy,2h 5min
https://www.imdb.com/title/tt1853728/,Django Unchained ,2012,Drama,2h 45min
https://www.imdb.com/title/tt0050825/,Paths of Glory ,1957,Drama,1h 28min
https://www.imdb.com/title/tt7286456/,Joker ,2019,Crime,2h 2min
https://www.imdb.com/title/tt0209144/,Memento ,2000,Mystery,1h 53min
https://www.imdb.com/title/tt0082971/,Raiders of the Lost Ark ,1981,Action,1h 55min
https://www.imdb.com/title/tt0047396/,Rear Window ,1954,Mystery,1h 52min
https://www.imdb.com/title/tt0078748/,Alien ,1979,Horror,1h 57min
https://www.imdb.com/title/tt0095327/,Grave of the Fireflies ,1988,Animation,1h 29min
https://www.imdb.com/title/tt0095765/,Cinema Paradiso ,1988,Drama,2h 35min
https://www.imdb.com/title/tt0078788/,Apocalypse Now ,1979,Drama,2h 27min
https://www.imdb.com/title/tt0064116/,Once Upon a Time in the West ,1968,Western,2h 45min
https://www.imdb.com/title/tt0482571/,The Prestige ,2006,Drama,2h 10min
https://www.imdb.com/title/tt2582802/,Whiplash ,2014,Drama,1h 46min
https://www.imdb.com/title/tt0034583/,Casablanca ,1942,Drama,1h 42min
https://www.imdb.com/title/tt0407887/,The Departed ,2006,Crime,2h 31min
https://www.imdb.com/title/tt0054215/,Psycho ,1960,Horror,1h 49min
https://www.imdb.com/title/tt1675434/,The Intouchables ,2011,Biography,1h 52min
https://www.imdb.com/title/tt0172495/,Gladiator ,2000,Action,2h 35min
https://www.imdb.com/title/tt0021749/,City Lights ,1931,Comedy,1h 27min
https://www.imdb.com/title/tt0253474/,The Pianist ,2002,Biography,2h 30min
https://www.imdb.com/title/tt0103064/,Terminator 2: Judgment Day ,1991,Action,2h 17min
https://www.imdb.com/title/tt0027977/,Modern Times ,1936,Comedy,1h 27min
https://www.imdb.com/title/tt0120586/,American History X ,1998,Drama,1h 59min
https://www.imdb.com/title/tt0056058/,Harakiri ,1962,Action,2h 13min
https://www.imdb.com/title/tt0110357/,The Lion King ,1994,Animation,1h 28min
https://www.imdb.com/title/tt0088763/,Back to the Future ,1985,Adventure,1h 56min
https://www.imdb.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring ,2001,Action,2h 58min
https://www.imdb.com/title/tt0167261/,The Lord of the Rings: The Two Towers ,2002,Adventure,2h 59min
https://www.imdb.com/title/tt0137523/,Fight Club ,1999,Drama,2h 19min
https://www.imdb.com/title/tt0133093/,The Matrix ,1999,Action,2h 16min
https://www.imdb.com/title/tt0109830/,Forrest Gump ,1994,Drama,2h 22min
https://www.imdb.com/title/tt1375666/,Inception ,2010,Action,2h 28min
https://www.imdb.com/title/tt0114814/,The Usual Suspects ,1995,Crime,1h 46min
https://www.imdb.com/title/tt0080684/,Star Wars: Episode V - The Empire Strikes Back ,1980,Action,2h 4min
https://www.imdb.com/title/tt0060196/,"The Good, the Bad and the Ugly ",1966,Western,2h 58min
https://www.imdb.com/title/tt0110912/,Pulp Fiction ,1994,Crime,2h 34min
https://www.imdb.com/title/tt0108052/,Schindler's List ,1993,Biography,3h 15min
https://www.imdb.com/title/tt0167260/,The Lord of the Rings: The Return of the King ,2003,Adventure,3h 21min
https://www.imdb.com/title/tt0050083/,12 Angry Men ,1957,Crime,1h 36min
https://www.imdb.com/title/tt0071562/,The Godfather: Part II ,1974,Crime,3h 22min
https://www.imdb.com/title/tt0468569/,The Dark Knight ,2008,Action,2h 32min
https://www.imdb.com/title/tt0068646/,The Godfather ,1972,Crime,2h 55min
